exercise_id_(pk),exercise_name,equipment,movement_pattern,primary_mover,complexity,focus,split
34,Knee Push-up,Bodyweight,Horizontal Push,Chest,1,Hypertrophy,push
35,Resistance Band Chest Press,Resistance Band,Horizontal Push,Chest,1,Hypertrophy,push
36,Pull-up,Bodyweight,Vertical Pull,Back,3,Hypertrophy,pull
37,Chin-up,Bodyweight,Vertical Pull,Back,2,Hypertrophy,pull
38,Lat Pulldown,Bodyweight,Vertical Pull,Back,1,Hypertrophy,pull
39,Band-assisted Pull-up,Bodyweight,Vertical Pull,Back,1,Hypertrophy,pull
40,Reverse Shrug,Machine,Vertical Pull,Traps,1,Hypertrophy,pull
41,Resistance Band Lat Pulldown,Machine,Vertical Pull,Back,1,Hypertrophy,pull
42,Cable Row,Machine,Horizontal Pull,Back,1,Hypertrophy,pull
43,Machine Row,Machine,Horizontal Pull,Back,1,Hypertrophy,pull
44,Smith Machine Row,Machine,Horizontal Pull,Back,1,Hypertrophy,pull
45,Bent-Over Barbell Row,Barbell,Horizontal Pull,Back,2,Strength,pull
46,Bent-Over Dumbbell Row,Dumbbell,Horizontal Pull,Back,1,Hypertrophy,pull
47,Single-Arm Bent-Over Dumbbell Row,Dumbbell,Horizontal Pull,Back,1,Hypertrophy,pull
48,Pendlay Row,Barbell,Horizontal Pull,Back,2,Strength,pull
49,Resistance Band Row,Resistance Band,Horizontal Pull,Back,1,Hypertrophy,pull
50,T-Bar Row,Machine,Horizontal Pull,Back,1,Hypertrophy,pull
51,Barbell Squat,Barbell,Squat,Quads,2,Strength,legs
52,Dumbbell Squat,Dumbbell,Squat,Quads,1,Hypertrophy,legs
53,Smith Machine Squat,Machine,Squat,Quads,1,Hypertrophy,legs
54,Leg Press,Machine,Squat,Quads,1,Hypertrophy,legs
55,Pistol Squat,Bodyweight,Squat,Quads,3,Hypertrophy,legs
56,Bodyweight Squat,Bodyweight,Squat,Quads,1,Hypertrophy,legs
57,Resistance Band Squat,Bodyweight,Squat,Quads,1,Hypertrophy,legs
58,Kettlebell Squat,Bodyweight,Squat,Quads,1,Hypertrophy,legs
59,Romanian Deadlift,Barbell,Hinge,Hamstrings,1,Hypertrophy,legs
60,Sumo Deadlift,Barbell,Hinge,Hamstrings,2,Strength,legs
61,Conventional Deadlift,Barbell,Hinge,Hamstrings,1,Hypertrophy,legs
62,Stiff Legged Deadlift,Barbell,Hinge,Hamstrings,1,Strength,legs
63,Dumbbell Romanian Deadlift,Dumbbell,Hinge,Hamstrings,1,Strength,legs
64,Dumbbell Stiff Legged Deadlift,Dumbbell,Hinge,Hamstrings,1,Strength,legs
65,Resistance Band Deadlift,Dumbbell,Hinge,Hamstrings,1,Strength,legs
66,Kettlebell Deadlift,Dumbbell,Hinge,Hamstrings,1,Strength,legs
67,Barbell Bench Press,barbell,horizontal push,Chest,2,Hypertrophy,push
68,Dumbbell Bench Press,dumbbell,horizontal push,Chest,2,Hypertrophy,push
69,Incline Barbell Bench Press,barbell,horizontal push,Chest,3,Hypertrophy,push
70,Incline Dumbbell Press,dumbbell,horizontal push,Chest,2,Hypertrophy,push
71,Push-Up,bodyweight,horizontal push,Chest,1,general,push
72,Overhead Press,barbell,vertical push,Shoulders,3,strength,push
73,Seated Dumbbell Shoulder Press,dumbbell,vertical push,Shoulders,2,Hypertrophy,push
74,Machine Chest Press,machine,horizontal push,Chest,1,Hypertrophy,push
75,Cable Chest Fly,cable,horizontal push,Chest,2,Hypertrophy,push
76,Dips,bodyweight,vertical push,Shoulders,2,general,push
77,Pike Push-Up,bodyweight,vertical push,Shoulders,2,general,push
78,Landmine Press,landmine,vertical push,Shoulders,2,general,push
79,Incline Dumbbell Fly,dumbbell,horizontal push,Chest,2,Hypertrophy,push
80,Barbell Bent-Over Row,barbell,horizontal pull,Back,3,strength,pull
81,Pendlay Row,barbell,horizontal pull,Back,3,strength,pull
82,Dumbbell Row,dumbbell,horizontal pull,Back,2,Hypertrophy,pull
83,Seated Cable Row,cable,horizontal pull,Back,1,Hypertrophy,pull
84,Chest-Supported Row (Machine),machine,horizontal pull,Back,1,Hypertrophy,pull
85,T-Bar Row,machine,horizontal pull,Back,2,Hypertrophy,pull
86,Inverted Row,bodyweight,horizontal pull,Back,1,general,pull
87,Band Pull-Apart,band,horizontal pull,Back,1,general,pull
88,One-Arm Cable Row,cable,horizontal pull,Back,1,Hypertrophy,pull
89,Chest-Supported Row (Dumbbell),dumbbell,horizontal pull,Back,1,Hypertrophy,pull
90,Back Squat,barbell,squat,Quads,3,strength,legs
91,Front Squat,barbell,squat,Quads,3,strength,legs
92,Goblet Squat,dumbbell,squat,Quads,1,general,legs
93,Zercher Squat,barbell,squat,Quads,3,strength,legs
94,Hack Squat,machine,squat,Quads,1,Hypertrophy,legs
95,Smith Machine Squat,machine,squat,Quads,1,Hypertrophy,legs
96,Bulgarian Split Squat,dumbbell,squat,Quads,2,Hypertrophy,legs
97,Leg Press,machine,squat,Quads,1,Hypertrophy,legs
98,Trap Bar Deadlift,trap bar,hinge,Hamstrings,2,strength,legs
99,Good Morning,barbell,hinge,Hamstrings,3,strength,legs
100,Hip Thrust,barbell,hinge,Glutes,2,Hypertrophy,legs
101,Glute Bridge,bodyweight,hinge,Glutes,1,general,legs
102,Kettlebell Swing,kettlebell,hinge,Hamstrings,2,general,legs
103,Farmer's Carry,dumbbell,locomotion,Forearms,1,general,legs
104,Kettlebell Farmer's Carry,kettlebell,locomotion,Forearms,1,general,legs
105,Landmine Rotation,landmine,rotate,Obliques,2,general,upper
106,Russian Twist,medicine ball,rotate,Obliques,1,general,upper
107,Med Ball Rotational Throw,medicine ball,rotate,Back,2,strength,upper
108,Rotational Kettlebell Swing,kettlebell,rotate,Hamstrings,2,general,upper
109,Standing Barbell Twist,barbell,rotate,Obliques,1,general,upper
110,Thread-the-Needle Side Plank,bodyweight,rotate,Core,1,general,upper
111,Pallof Press (Band),band,anti rotate,Core,1,general,upper
112,Tall-Kneeling Pallof Press,cable,anti rotate,Core,1,general,upper
113,Dead Bug w/ Anti-Rotation Band,band,anti rotate,Obliques,1,general,upper
114,Renegade Row,dumbbell,anti rotate,Back,2,general,upper
115,Plank,bodyweight,anti rotate,Core,1,general,upper
116,Side Plank,bodyweight,anti rotate,Core,1,general,upper
117,Bird Dog,bodyweight,anti rotate,Core,1,general,upper
118,Suitcase Carry,dumbbell,anti rotate,Core,1,general,upper
119,Dumbbell Curl,Dumbbell,Elbow Flexion,Biceps,1,Hypertrophy,pull
120,Hammer Curl,Dumbbell,Elbow Flexion,Biceps,1,Hypertrophy,pull
121,Cable Curl,Cable,Elbow Flexion,Biceps,1,Hypertrophy,pull
122,Resistance Band Curl,Resistance Band,Elbow Flexion,Biceps,1,Hypertrophy,pull
123,Bicep Chin-Up,Bodyweight,Elbow Flexion,Biceps,2,Hypertrophy,pull
124,Barbell Curl,Barbell,Elbow Flexion,Biceps,2,Hypertrophy,pull
125,Kettlebell Curl,Kettlebell,Elbow Flexion,Biceps,1,Hypertrophy,pull
126,Ez-bar curl,Barbell,Elbow Flexion,Biceps,2,Hypertrophy,pull
127,Dumbell Preacher Curl,Dumbbell,Elbow Flexion,Biceps,2,Hypertrophy,pull
128,Dumbbell Hammer Curl,Dumbbell,Elbow Flexion,Biceps,1,Hypertrophy,pull
129,Bench Preacher Curl,Dumbbell,Elbow Flexion,Biceps,2,Hypertrophy,pull
130,Straight Bar Tricep Pushdown,Cable,Elbow Extension,Triceps,2,Hypertrophy,push
131,Straight Bar Tricep Extension,Cable,Elbow Extension,Triceps,2,Hypertrophy,push
132,D-Handle Tricep Pushdown,Cable,Elbow Extension,Triceps,2,Hypertrophy,push
133,Resistance Band Tricep Extension,Resistance Band,Elbow Extension,Triceps,1,Hypertrophy,push
134,Rope Tricep Pushdown,Cable,Elbow Extension,Triceps,2,Hypertrophy,push
135,Skull Crusher,Dumbbell,Elbow Extension,Triceps,2,Hypertrophy,push
136,Dumbbell Overhead Extension,Dumbbell,Elbow Extension,Triceps,3,Hypertrophy,push
137,Barbell Overhead Tricep Extension,Barbell,Elbow Extension,Triceps,2,Hypertrophy,push
138,Ez-bar Overhead Tricep Extension,Barbell,Elbow Extension,Triceps,2,Hypertrophy,push
139,Katana Overhead Extension,Cable,Elbow Extension,Triceps,3,Hypertrophy,push
140,Resistance Band Tricep Extension,Resistance Band,Elbow Extension,Triceps,1,Hypertrophy,push
141,Kettlebell Overhead Extension,Kettlebell,Elbow Extension,Triceps,2,Hypertrophy,push
142,Dumbbell Lateral Raises,Dumbbell,Shoulder Abduction,Shoulders,1,Hypertrophy,push
143,Kettlebell Lateral Raises,Kettlebell,Shoulder Abduction,Shoulders,1,Hypertrophy,push
144,Resistance Band Lateral Raises,Resistance Band,Shoulder Abduction,Shoulders,1,Hypertrophy,push
145,Cable Lateral Raises,Cable,Shoulder Abduction,Shoulders,1,Hypertrophy,push
146,Ez-bar Upright Row,Barbell,Shoulder Abduction,Shoulders,2,Hypertrophy,pull
147,Barbell Upright Row,Barbell,Shoulder Abduction,Shoulders,2,Hypertrophy,pull
148,Smith Machine Upright Row,Machine,Shoulder Abduction,Shoulders,2,Hypertrophy,pull
149,Face Pull,Cable,Scapular Retraction,Rear Delts,1,Hypertrophy,pull
150,Reverse Pec Deck,Machine,Shoulder Horizontal Abduction,Rear Delts,1,Hypertrophy,pull
151,Dumbell Rear Delt Fly,Dumbbell,Shoulder Horizontal Abduction,Rear Delts,1,Hypertrophy,pull
152,Cable Rear Delt Fly,Cable,Shoulder Horizontal Abduction,Rear Delts,1,Hypertrophy,pull
153,Resistance Band Face Pull,Resistance Band,Scapular Retraction,Rear Delts,1,General,pull
154,JM Press,Barbell,Elbow Extension,Triceps,2,Strength,push
155,Bodyweight Deadlift,Bodyweight,Hinge,Hamstrings,1,General,legs
156,Tricep Dip,Bodyweight,Elbow Extension,Triceps,1,General ,push
157,Leg Extension,machine,Knee Extension,Quads,1,Hypertrophy,legs
158,Sissy Squat,Bodyweight,Knee Extension,Quads,3,Hypertrophy,legs
159,Seated Leg Curl,machine,Knee Flexion,Hamstrings,1,Hypertrophy,legs
160,Lying Leg Curl,machine,Knee Flexion,Hamstrings,1,Hypertrophy,legs
161,Bodyweight Lunge,machine,Knee Flexion,Hamstrings,1,Hypertrophy,legs
